zone	biome_description
1	Tamaulipan_Thornscrub
2	Transvolcanic_Conifer_Forest
3	Sinaloa_Dry_Deciduous_Forest
4	Guerrero_Dry_Deciduous_Forest
6	Interior_Chaparral
7	Great_Basin_Montane_Scrub
8	Great_Basin_Conifer_Woodland
9	California_Chaparral
10	Madrean_Montane_Conifer_Forest
11	Yucatan_Dry_Deciduous_Forests
12	San_Lucas_Pine-Oak_Woodland
14	Oregonian_Deciduous_and_Evergreen_Forests
15	Gulf_Coastal_Grassland
17	Guerrero_Evergreen_(Oak)_Woodland
18	Savanna_Grasslands
19	Semi-evergreen_Forest
20	California_Evergreen_Forest_and_Woodland
21	Cascade-Sierran_Subalpine_Conifer_Forest
22	Western_Alpine_Tundra
23	California_Valley_Grassland
24	California_Coastalscrub
25	Interior_Cedar-Hemlock_Conifer_Forest
26	Yucatan-Tamaulipas_Semi-Deciduous_Forest
27	Cloud_Forest
28	Tropical_Rain_Forest
29	Southeastern_Deciduous_and_Evergreen_Forests
30	Mohave_Desertscrub
31	Oregonian_Coastal_Conifer_Forest
32	Cascade-Sierran_Montane_Conifer_Forest
33	Madrean-Transvolcanic_Woodland
34	Pacific_Coast_Thornscrub
35	Sonoran_Desertscrub
36	Sitka_Coastal_Conifer_Forest
37	Adirondack-Appalachian_Subalpine_&_Tundra
38	Great_Basin_Desertscrub
39	Chihuahuan_Desertscrub
40	Semidesert_Grassland
41	Rocky_Mountain_Subalpine_Conifer_Forest
42	Great_Basin_Shrub-Grassland
43	Rocky_Mountain_Montane_Conifer_Forest
44	Alaskan-Alpine_Tundra
45	Northern_Tundra
46	Alaska-Yukon_Subarctic_Conifer_Forest
47	Plains_Grassland
48	Northeastern_Deciduous_Forest
50	Canadian_Taiga
