Common_Name,Genus,Species,Variety,Subspecies,PLANTS_Code
Pacific silver fir,Abies,amabilis,NA,NA,ABAM
balsam fir,Abies,balsamea,NA,NA,ABBA
Santa Lucia or bristlecone fir,Abies,bracteata,NA,NA,ABBR
white fir,Abies,concolor,NA,NA,ABCO
Fraser fir,Abies,fraseri,NA,NA,ABFR
grand fir,Abies,grandis,NA,NA,ABGR
corkbark fir,Abies,lasiocarpa,arizonica,NA,ABLAA
subalpine fir,Abies,lasiocarpa,NA,NA,ABLA
California red fir,Abies,magnifica,NA,NA,ABMA
noble fir,Abies,procera,NA,NA,ABPR
Shasta red fir,Abies,shastensis,NA,NA,ABSH
blackbrush wattle,Acacia,anegadensis,NA,NA,ACAN4
mulga,Acacia,aneura,NA,NA,ACAN10
auri,Acacia,auriculiformis,NA,NA,ACAU
small Philippine acacia,Acacia,confusa,NA,NA,ACCO
silver wattle,Acacia,dealbata,NA,NA,ACDE3
green wattle,Acacia,decurrens,NA,NA,ACDE
sweet acacia,Acacia,farnesiana,NA,NA,ACFA
koa,Acacia,koa,NA,NA,ACKO
koaoha,Acacia,koaia,NA,NA,ACKO2
Sydney golden wattle,Acacia,longifolia,NA,NA,ACLO
porknut,Acacia,macracantha,NA,NA,ACMA
black wattle,Acacia,mangium,NA,NA,ACMA12
black wattle,Acacia,mearnsii,NA,NA,ACME80
blackwood,Acacia,melanoxylon,NA,NA,ACME
spineless wattle,Acacia,muricata,NA,NA,ACMU
gum arabic tree,Acacia,nilotica,NA,NA,ACNI2
South Wales wattle,Acacia,parramattensis,NA,NA,ACPA81
Acacia polyacantha,Acacia,polyacantha,NA,NA,ACPO3
acacia sppNA,Acacia,sppNA,NA,NA,ACACI
poponax,Acacia,tortuosa,NA,NA,ACTO
prickly Moses,Acacia,verticillata,NA,NA,ACVE2
Florida maple,Acer,barbatum,NA,NA,ACBA3
hedge maple,Acer,campestre,NA,NA,ACCA5
vine maple,Acer,circinatum,NA,NA,ACCI
Amur maple,Acer,ginnala,NA,NA,ACGI
bigtooth maple,Acer,grandidentatum,NA,NA,ACGR3
paperbark maple,Acer,griseum,NA,NA,ACGR14
chalk maple,Acer,leucoderme,NA,NA,ACLE
bigleaf maple,Acer,macrophyllum,NA,NA,ACMA3
Miyabe maple,Acer,miyabei,NA,NA,ACMI7
Painted maple,Acer,mono,NA,NA,ACMO10
boxelder,Acer,negundo,NA,NA,ACNE2
black maple,Acer,nigrum,NA,NA,ACNI5
Japanese maple,Acer,palmatum,NA,NA,ACPA2
striped maple,Acer,pensylvanicum,NA,NA,ACPE
Norway maple,Acer,platanoides,NA,NA,ACPL
Norway maple x shantung maple,Acer,platanoides x truncatum,NA,NA,ACPL2
sycamore maple,Acer,pseudoplatanus,NA,NA,ACPS
red maple,Acer,rubrum,NA,NA,ACRU
silver maple,Acer,saccharinum,NA,NA,ACSA2
sugar maple,Acer,saccharum,NA,NA,ACSA3
mountain maple,Acer,spicatum,NA,NA,ACSP2
tatarian maple,Acer,tataricum,NA,NA,ACTA80
Three Flower Maple,Acer,triflorum,NA,NA,ACTR7
Freeman maple,Acer,x freemanii,NA,NA,ACFR
hollowheart,Acnistus,arborescens,NA,NA,ACAR
"Everglades palm, paurotis-palm",Acoelorraphe,wrightii,NA,NA,ACWR4
grugru palm,Acrocomia,media,NA,NA,ACME2
baobab,Adansonia,digitata,NA,NA,ADDI3
wild lime,Adelia,ricinella,NA,NA,ADRI
red beadtree,Adenanthera,pavonina,NA,NA,ADPA
Caribbean spiritweed,Aegiphila,martinicensis,NA,NA,AEMA
California buckeye,Aesculus,californica,NA,NA,AECA
yellow buckeye,Aesculus,flava,NA,NA,AEFL
Ohio buckeye,Aesculus,glabra,NA,NA,AEGL
Texas buckeye,Aesculus,glabra,arguta,NA,AEGLA
horse chestnut,Aesculus,hippocastanum,NA,NA,AEHI
yellowwood,Afrocarpus,falcatus,NA,NA,AFFA
East African yellowwood,Afrocarpus,gracilior,NA,NA,AFGR
kauri,Agathis,australis,NA,NA,AGAU4
Queensland kauri,Agathis,robusta,NA,NA,AGRO6
Titimel,Aglaia,mariannensis,NA,NA,AGMA14
"karasyu, marasau",Aglaia,ponapensis,NA,NA,AGPO4
laga ali,Aglaia,samoensis,NA,NA,AGSA9
Olomea,Aidia,cochinchinensis,NA,NA,AICO2
Aidia racemosa,Aidia,racemosa,NA,NA,AIRA2
ailanthus,Ailanthus,altissima,NA,NA,AIAL
Aiphanes minima,Aiphanes,minima,NA,NA,AIMI
cream albizia,Albizia,adinocephala,NA,NA,ALAD
naked albizia,Albizia,carbonaria,NA,NA,ALCA8
Chinese albizia,Albizia,chinensis,NA,NA,ALCH2
"mimosa, silktree",Albizia,julibrissin,NA,NA,ALJU
woman's tongue,Albizia,lebbeck,NA,NA,ALLE
tall albizia,Albizia,procera,NA,NA,ALPR
ukall ra ngebard,Albizia,retusa,NA,NA,ALRE
whiteflower albizia,Albizia,saponaria,NA,NA,ALSA10
achiotillo,Alchornea,latifolia,NA,NA,ALLA
palo de gallina,Alchorneopsis,floribunda,NA,NA,ALFL3
Hawaii alectryon,Alectryon,macrococcus,NA,NA,ALMA
Indian walnut,Aleurites,moluccana,NA,NA,ALMO2
lumbang,Aleurites,trisperma,NA,NA,ALTR11
palo blanco,Allophylus,crassinervis,NA,NA,ALCR9
palo de caja,Allophylus,racemosus,NA,NA,ALRA
chebeludes,Allophylus,ternatus,NA,NA,ALTE13
"ebeludes, chebeludes",Allophylus,timorensis,NA,NA,ALTI2
Italian alder,Alnus,cordata,NA,NA,ALCO13
European alder,Alnus,glutinosa,NA,NA,ALGL2
Nepal alder,Alnus,nepalensis,NA,NA,ALNE2
Arizona alder,Alnus,oblongifolia,NA,NA,ALOB2
white alder,Alnus,rhombifolia,NA,NA,ALRH2
red alder,Alnus,rubra,NA,NA,ALRU2
"chelebiob, elebiong",Alphitonia,carolinensis,NA,NA,ALCA21
Hawaii kauilatree,Alphitonia,ponderosa,NA,NA,ALPO3
toi,Alphitonia,zizyphoides,NA,NA,ALZI
helecho gigante de la sierra,Alsophila,bryophila,NA,NA,ALBR4
Alsophila portoricensis,Alsophila,portoricensis,NA,NA,ALPO7
deviltree,Alstonia,macrophylla,NA,NA,ALMA16
Alstonia pacifica,Alstonia,pacifica,NA,NA,ALPA22
common serviceberry,Amelanchier,arborea,NA,NA,AMAR3
Allegheny serviceberry,Amelanchier,laevis,NA,NA,AMLA
roundleaf serviceberry,Amelanchier,sanguinea,NA,NA,AMSA
serviceberry sppNA,Amelanchier,sppNA,NA,NA,AMELA
black calabash,Amphitecna,latifolia,NA,NA,AMLA4
balsam torchwood,Amyris,balsamifera,NA,NA,AMBA2
sea torchwood,Amyris,elemifera,NA,NA,AMEL
cashew,Anacardium,occidentale,NA,NA,ANOC
Anacolosa glochidiiformis,Anacolosa,glochidiiformis,NA,NA,ANGL5
Anacolosa insularis,Anacolosa,insularis,NA,NA,ANIN13
Anadenanthera peregrina,Anadenanthera,peregrina,NA,NA,ANPE13
cabbagebark tree,Andira,inermis,NA,NA,ANIN
canelillo,Aniba,bracteata,NA,NA,ANBR7
Annona cherimola,Annona,cherimola,NA,NA,ANCH9
ilama,Annona,diversifolia,NA,NA,ANDI11
pond-apple,Annona,glabra,NA,NA,ANGL4
mountain soursop,Annona,montana,NA,NA,ANMO
soursop,Annona,muricata,NA,NA,ANMU2
custard apple,Annona,reticulata,NA,NA,ANRE
sugar apple,Annona,squamosa,NA,NA,ANSQ
Antidesma bunius,Antidesma,bunius,NA,NA,ANBU3
Kapua china laurel,Antidesma,kapuae,NA,NA,ANKA
Antidesma kusaiense,Antidesma,kusaiense,NA,NA,ANKU3
ha a,Antidesma,platyphyllum,NA,NA,ANPL2
hame,Antidesma,pulvinatum,NA,NA,ANPU2
placa chiquitu,Antirhea,acutata,NA,NA,ANAC4
pegwood,Antirhea,coriacea,NA,NA,ANCO3
Antirhea inconspicua,Antirhea,inconspicua,NA,NA,ANIN2
palo iloron,Antirhea,lucida,NA,NA,ANLU3
quina roja,Antirhea,obtusifolia,NA,NA,ANOB2
Puerto Rico quina,Antirhea,portoricensis,NA,NA,ANPO3
Sintenis' quina,Antirhea,sintenisii,NA,NA,ANSI
Japanese angelica tree,Aralia,elata,NA,NA,AREL8
parana pine,Araucaria,angustifolia,NA,NA,ARAN15
New Caledonia pine,Araucaria,columnaris,NA,NA,ARCO32
Norfolk Island pine,Araucaria,heterophylla,NA,NA,ARHE12
Arizona madrone,Arbutus,arizonica,NA,NA,ARAR2
Pacific madrone,Arbutus,menziesii,NA,NA,ARME
strawberry tree,Arbutus,unedo,NA,NA,ARUN4
Texas madrone,Arbutus,xalapensis,NA,NA,ARXA80
Alexandra palm,Archontophoenix,alexandrae,NA,NA,ARAL
Bangalow palm,Archontophoenix,cunninghamiana,NA,NA,ARCU2
shoebutton,Ardisia,elliptica,NA,NA,AREL4
ausubon,Ardisia,glauciflora,NA,NA,ARGL11
mountain marlberry,Ardisia,luquillensis,NA,NA,ARLU3
Guadeloupe marlberry,Ardisia,obovata,NA,NA,AROB2
China-shrub,Ardisia,solanacea,NA,NA,ARSO
betelnut,Areca,catechu,NA,NA,ARCA41
cabo-negro,Arenga,pinnata,NA,NA,ARPI6
breadfruit,Artocarpus,altilis,NA,NA,ARAL7
Artocarpus heterophyllus,Artocarpus,heterophyllus,NA,NA,ARHE2
"dugdug, Marianas breadfruit",Artocarpus,mariannensis,NA,NA,ARMA28
Artocarpus nobilis,Artocarpus,nobilis,NA,NA,ARNO
Marang,Artocarpus,odoratissimus,NA,NA,AROD2
taputoi,Arytera,brackenridgei,NA,NA,ARBR11
afia,Ascarina,diffusa,NA,NA,ASDI14
pawpaw,Asimina,triloba,NA,NA,ASTR
Astronidium kusaianum,Astronidium,kusaianum,NA,NA,ASKU2
Astronidium navigatorum,Astronidium,navigatorum,NA,NA,ASNA10
mesekui,Astronidium,palauense,NA,NA,ASPA37
Astronidium pickeringii,Astronidium,pickeringii,NA,NA,ASPI11
Astronidium samoense,Astronidium,samoense,NA,NA,ASSA23
Astronidium subcordata,Astronidium,subcordata,NA,NA,ASSU31
ifi ifi,Atuna,racemosa,NA,NA,ATRA2
Bilimbi,Averrhoa,bilimbi,NA,NA,AVBI
carambola,Averrhoa,carambola,NA,NA,AVCA
black mangrove,Avicennia,germinans,NA,NA,AVGE
Avicennia marina,Avicennia,marina,NA,NA,AVMA3
biut,Avicennia,Marina sspNAMarina,NA,NA,AVAL
neem,Azadirachta,indica,NA,NA,AZIN2
Saitamu,Baccaurea,taitensis,NA,NA,BATA
peach palm,Bactris,gasipaes,NA,NA,BAGA2
ralm,Badusa,palauensis,NA,NA,BAPA8
Puerto Rico palo de ramon,Banara,portoricensis,NA,NA,BAPO
Vanderbilt's palo de ramon,Banara,vanderbiltii,NA,NA,BAVA2
sea putat,Barringtonia,asiatica,NA,NA,BAAS3
langaasag,Barringtonia,racemosa,NA,NA,BARA5
falaga,Barringtonia,samoensis,NA,NA,BASA9
Bastardiopsis eggersii,Bastardiopsis,eggersii,NA,NA,BAEG6
Texasplume,Bauhinia,lunarioides,NA,NA,BALU
Napoleon's plume,Bauhinia,monandra,NA,NA,BAMO2
petite flamboyant bauhinia,Bauhinia,multinervia,NA,NA,BAMU3
railroadfence,Bauhinia,pauletia,NA,NA,BAPA3
butterfly tree,Bauhinia,purpurea,NA,NA,BAPU
StNA Thomas tree,Bauhinia,tomentosa,NA,NA,BATO
