"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_fia" "ABAM" "ABCO" "ABGR" "ABPR" "CHNO" "CADE27" "PISI" "PICO" "PILA" "PIMO3" "PIPO" "PSME" "TABR2" "THPL" "TSHE" "TSME" "POTR5" "POBAT" "QUGA4"
593391 -122.02 47.55 180 0.04 "strong" 20 2.50712515831895 93391 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
594085 -122.01 47.69 180 0.08 "strong" 20 17.9175319589138 94085 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
593003 -122.06 47.48 250 0.13 "strong" -50 5.85010271068793 93003 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
593963 -121.96 47.67 110 0.14 "strong" 90 16.5744770481682 93963 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
592289 -121.99 47.36 180 0.14 "strong" 20 19.1633650740222 92289 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
596149 -121.95 48.09 150 0.16 "strong" 50 62.6185146428312 96149 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
596666 -121.95 48.2 150 0.18 "strong" 50 74.7967746003784 96666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
595257 -121.99 47.93 180 0.19 "strong" 20 44.6323861682176 95257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
595852 -121.97 48.04 170 0.2 "strong" 30 56.9437720536786 95852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
593597 -121.99 47.59 120 0.21 "strong" 80 7.49418031867773 93597 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
595955 -121.94 48.06 150 0.21 "strong" 50 59.3856494739011 95955 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
594323 -121.92 47.74 120 0.23 "strong" 80 24.9148724553805 94323 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
594324 -121.92 47.74 120 0.23 "strong" 80 24.9148724553805 94324 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
596186 -121.98 48.1 110 0.23 "strong" 90 63.5410093495773 96186 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
597035 -121.95 48.27 60 0.23 "strong" 140 82.5548555952899 97035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
595851 -121.97 48.04 180 0.24 "strong" 20 56.9437720536786 95851 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
594087 -121.95 47.69 150 0.24 "strong" 50 18.9211070966638 94087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
594978 -121.85 47.87 50 0.25 "strong" 150 40.2906277282506 94978 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0
594120 -121.9 47.7 100 0.26 "strong" 100 21.4652441270872 94120 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
