"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_biome" "zone" "biome_description"
150129 -122 47.48 181 0.11 "strong" 19 6.10643339884089 482289 31 "Oregonian_Coastal_Conifer_Forest"
150142 -122 47.53 151 0.11 "strong" 49 2.59809347422347 482344 31 "Oregonian_Coastal_Conifer_Forest"
148888 -121.96 47.88 129 0.15 "strong" 71 39.3472332677509 477403 32 "Cascade-Sierran_Montane_Conifer_Forest"
148948 -121.91 48.26 91 0.16 "strong" 109 81.7327040211079 477590 32 "Cascade-Sierran_Montane_Conifer_Forest"
148895 -122 47.93 154 0.19 "strong" 46 44.5825588750124 477427 32 "Cascade-Sierran_Montane_Conifer_Forest"
148964 -122 48.49 94 0.27 "strong" 106 106.807267508282 477691 32 "Cascade-Sierran_Montane_Conifer_Forest"
148896 -121.96 47.93 179 0.31 "strong" 21 44.8568648652427 477428 32 "Cascade-Sierran_Montane_Conifer_Forest"
150170 -122 47.61 110 0.33 "strong" 90 9.29765004306447 482452 31 "Oregonian_Coastal_Conifer_Forest"
150294 -122 48.13 234 0.36 "strong" -34 66.795522983197 483004 31 "Oregonian_Coastal_Conifer_Forest"
150087 -121.96 47.35 193 0.36 "strong" 7 20.754199390671 482128 31 "Oregonian_Coastal_Conifer_Forest"
419805 -122.13 49.02 1 0.37 "strong" 199 165.866400064627 1560432 36 "Sitka_Coastal_Conifer_Forest"
419804 -122.16 49.02 1 0.37 "strong" 199 165.976452741198 1560430 36 "Sitka_Coastal_Conifer_Forest"
419803 -122.18 49.02 1 0.37 "strong" 199 166.06636619278 1560429 36 "Sitka_Coastal_Conifer_Forest"
148798 -122.14 47 379 0.38 "strong" -179 59.428686661763 477016 32 "Cascade-Sierran_Montane_Conifer_Forest"
417141 -122.14 48.99 1 0.38 "strong" 199 162.56738383832 1549732 36 "Sitka_Coastal_Conifer_Forest"
148889 -121.86 47.88 106 0.38 "strong" 94 41.0907778782936 477405 32 "Cascade-Sierran_Montane_Conifer_Forest"
419801 -122.33 49 44 0.38 "strong" 156 164.955708838653 1560387 36 "Sitka_Coastal_Conifer_Forest"
419811 -122.29 49.03 43 0.39 "strong" 157 167.901039458957 1560461 36 "Sitka_Coastal_Conifer_Forest"
148856 -121.91 47.51 130 0.4 "strong" 70 9.62914602531186 477253 32 "Cascade-Sierran_Montane_Conifer_Forest"
160669 -122.14 48.83 99 0.4 "strong" 101 144.797978310898 524014 21 "Cascade-Sierran_Subalpine_Conifer_Forest"
419813 -122.14 49.03 1 0.4 "strong" 199 167.010606801078 1560470 36 "Sitka_Coastal_Conifer_Forest"
419809 -122.49 49.03 68 0.4 "strong" 132 170.217168228009 1560449 36 "Sitka_Coastal_Conifer_Forest"
419810 -122.39 49.03 61 0.4 "strong" 139 168.900118378415 1560455 36 "Sitka_Coastal_Conifer_Forest"
419814 -122.11 49.03 1 0.41 "strong" 199 166.921054764654 1560472 36 "Sitka_Coastal_Conifer_Forest"
419802 -122.47 49.02 75 0.41 "strong" 125 168.837594165686 1560411 36 "Sitka_Coastal_Conifer_Forest"
150280 -122.04 48.09 137 0.42 "strong" 63 62.299226125562 482953 31 "Oregonian_Coastal_Conifer_Forest"
419837 -122.64 49.07 41 0.42 "strong" 159 177.067136481372 1560539 36 "Sitka_Coastal_Conifer_Forest"
419819 -122.61 49.05 67 0.42 "strong" 133 174.360465605876 1560484 36 "Sitka_Coastal_Conifer_Forest"
419828 -122.09 49.05 1 0.42 "strong" 199 169.10134997811 1560514 36 "Sitka_Coastal_Conifer_Forest"
