"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_biome" "zone" "biome_description"
149659 -122.3 45.53 6 0.57 "strong" 194 223.220873005531 480495 31 "Oregonian_Coastal_Conifer_Forest"
149660 -122.26 45.53 65 0.71 "moderate" 135 222.961896696426 480496 31 "Oregonian_Coastal_Conifer_Forest"
149654 -122.39 45.49 137 0.73 "weak" 63 228.370610752057 480461 31 "Oregonian_Coastal_Conifer_Forest"
149653 -122.43 45.49 159 0.79 "weak" 41 228.757515065364 480460 31 "Oregonian_Coastal_Conifer_Forest"
149679 -122.39 45.62 136 0.79 "weak" 64 214.028420354222 480564 31 "Oregonian_Coastal_Conifer_Forest"
149624 -122.39 45.31 214 0.82 "weak" -14 248.248840943547 480346 31 "Oregonian_Coastal_Conifer_Forest"
149668 -122.43 45.57 175 0.83 "weak" 25 219.944893674536 480525 31 "Oregonian_Coastal_Conifer_Forest"
149669 -122.13 45.57 7 0.83 "weak" 193 217.967308231634 480532 31 "Oregonian_Coastal_Conifer_Forest"
149600 -122.48 45.18 195 0.83 "weak" 5 263.428249882007 480249 31 "Oregonian_Coastal_Conifer_Forest"
149623 -122.43 45.31 226 0.84 "weak" -26 248.605955756524 480345 31 "Oregonian_Coastal_Conifer_Forest"
149639 -122.43 45.4 220 0.85 "under_thresh" -20 238.678545129467 480405 31 "Oregonian_Coastal_Conifer_Forest"
149615 -122.48 45.27 237 0.87 "under_thresh" -37 253.510674182685 480312 31 "Oregonian_Coastal_Conifer_Forest"
149646 -122.48 45.44 149 0.9 "under_thresh" 51 234.796639399939 480429 31 "Oregonian_Coastal_Conifer_Forest"
149647 -122.39 45.44 218 0.9 "under_thresh" -18 233.890234929524 480431 31 "Oregonian_Coastal_Conifer_Forest"
149582 -122.48 45.05 249 0.91 "under_thresh" -49 277.764075070443 480165 31 "Oregonian_Coastal_Conifer_Forest"
149610 -122.52 45.23 197 0.93 "under_thresh" 3 258.344369909181 480278 31 "Oregonian_Coastal_Conifer_Forest"
149549 -122.74 44.88 246 0.94 "under_thresh" -46 299.514982273333 480054 31 "Oregonian_Coastal_Conifer_Forest"
149614 -122.52 45.27 195 0.95 "under_thresh" 5 253.944442457353 480311 31 "Oregonian_Coastal_Conifer_Forest"
149553 -122.74 44.92 263 0.96 "under_thresh" -63 295.141372784353 480077 31 "Oregonian_Coastal_Conifer_Forest"
149863 -122.39 46.49 185 0.97 "under_thresh" 15 118.703288501256 481266 31 "Oregonian_Coastal_Conifer_Forest"
148560 -122.74 44.82 186 0.99 "under_thresh" 14 306.07920313346 475966 32 "Cascade-Sierran_Montane_Conifer_Forest"
149714 -122.43 45.75 185 1 "under_thresh" 15 200.141503748559 480691 31 "Oregonian_Coastal_Conifer_Forest"
148511 -122.65 44.35 321 1 "under_thresh" -121 356.629070650884 475757 32 "Cascade-Sierran_Montane_Conifer_Forest"
149631 -122.52 45.36 174 1.01 "under_thresh" 26 244.050524208783 480374 31 "Oregonian_Coastal_Conifer_Forest"
149581 -122.57 45.05 295 1.01 "under_thresh" -95 278.705552139521 480163 31 "Oregonian_Coastal_Conifer_Forest"
149823 -122.7 46.31 131 1.02 "under_thresh" 69 144.757136565078 481113 31 "Oregonian_Coastal_Conifer_Forest"
149483 -122.74 44.45 241 1.02 "under_thresh" -41 346.644283208591 479793 31 "Oregonian_Coastal_Conifer_Forest"
149810 -122.74 46.27 208 1.06 "under_thresh" -8 150.00133161397 481079 31 "Oregonian_Coastal_Conifer_Forest"
149796 -122.7 46.18 219 1.06 "under_thresh" -19 158.392805979692 481033 31 "Oregonian_Coastal_Conifer_Forest"
149423 -122.91 44.18 354 1.06 "under_thresh" -154 378.464888831644 479582 31 "Oregonian_Coastal_Conifer_Forest"
149452 -122.87 44.31 355 1.07 "under_thresh" -155 363.684294051901 479695 31 "Oregonian_Coastal_Conifer_Forest"
149580 -122.65 45.05 177 1.07 "under_thresh" 23 279.684065210819 480161 31 "Oregonian_Coastal_Conifer_Forest"
149822 -122.74 46.31 153 1.07 "under_thresh" 47 145.851783849655 481112 31 "Oregonian_Coastal_Conifer_Forest"
148601 -122.37 45.19 281 1.07 "under_thresh" -81 261.354939286465 476120 32 "Cascade-Sierran_Montane_Conifer_Forest"
149473 -122.83 44.4 283 1.08 "under_thresh" -83 353.284999231531 479762 31 "Oregonian_Coastal_Conifer_Forest"
149338 -122.96 43.71 403 1.09 "under_thresh" -203 430.619568845042 479213 31 "Oregonian_Coastal_Conifer_Forest"
148447 -122.61 43.84 324 1.09 "under_thresh" -124 412.532106697238 475503 32 "Cascade-Sierran_Montane_Conifer_Forest"
149472 -122.87 44.4 298 1.09 "under_thresh" -98 353.838727873099 479761 31 "Oregonian_Coastal_Conifer_Forest"
149550 -122.7 44.88 311 1.09 "under_thresh" -111 298.969622132615 480055 31 "Oregonian_Coastal_Conifer_Forest"
149587 -122.48 45.1 304 1.09 "under_thresh" -104 272.248939496616 480191 31 "Oregonian_Coastal_Conifer_Forest"
149337 -123 43.71 426 1.1 "under_thresh" -226 431.152637710119 479212 31 "Oregonian_Coastal_Conifer_Forest"
